\# boa_stats: type,map,start_q,n,boa_exp_sum,boa_gen_sum,boa_sol_sum,setup_time_sum
# bcp_stats: type,map,start_q,ord_i,zone_i,piv_i,exp_sum,gen_sum,prune_sum,time_sum,bbar1_sum,bbar2_sum,solved,timed_out,n,error_sum,error_n
boa_stats,NY,0,4,677952,958829,310,309.7750
bcp_stats,NY,0,5,3,0,34078601,61328179,82154650,28724.023000,4.00000000,4.00000000,4,0,4,0.0000000000,0
bcp_stats,NY,0,6,0,0,11060,15332,22399,6.828000,1.00000000,4.00000000,4,0,4,-0.0017594192,4
bcp_stats,NY,0,6,0,1,7546,10205,15039,3.743000,1.44583883,2.66509048,4,0,4,0.0566625540,4
bcp_stats,NY,0,6,0,2,14360,20278,28577,2.181000,1.93815270,1.94984947,4,0,4,0.0582901598,4
bcp_stats,NY,0,6,0,3,25734,38287,50541,12.301000,3.01609483,1.31963372,3,0,4,0.0935862885,3
bcp_stats,NY,0,6,0,4,7023,11432,11565,1.003000,4.00000000,1.00000000,4,0,4,0.0000000000,4
bcp_stats,NY,0,6,1,0,21953,31932,42470,3.306000,2.00000000,4.00000000,4,0,4,0.0417014390,4
bcp_stats,NY,0,6,1,1,19498,27808,38678,3.978000,2.29722589,3.11006032,4,0,4,0.0582901598,4
bcp_stats,NY,0,6,1,2,13543,20994,25294,6.813000,2.62543514,2.63323298,4,0,4,0.0361062240,4
bcp_stats,NY,0,6,1,3,8834,14250,15373,1.276000,3.34406322,2.21308915,4,0,4,0.0231568741,4
bcp_stats,NY,0,6,1,4,8403,13681,14327,1.175000,4.00000000,2.00000000,4,0,4,0.0000000000,4
bcp_stats,NY,0,6,2,0,11418,18340,20457,1.639000,3.00000000,4.00000000,4,0,4,0.0000000000,4
bcp_stats,NY,0,6,2,1,10787,17303,19304,1.487000,3.14861294,3.55503016,4,0,4,0.0000000000,4
bcp_stats,NY,0,6,2,2,10547,16902,18908,1.599000,3.31271757,3.31661649,4,0,4,0.0231568741,4
