# boa_stats: type,map,start_q,n,boa_exp_sum,boa_gen_sum,boa_sol_sum,setup_time_sum
# bcp_stats: type,map,start_q,ord_i,zone_i,piv_i,exp_sum,gen_sum,prune_sum,time_sum,bbar1_sum,bbar2_sum,solved,timed_out,n,error_sum,error_n
boa_stats,BAY,0,5,1129411,1494121,764,442.1770
bcp_stats,BAY,0,0,0,0,2440,4440,2638,0.360000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,0,1,64331,84597,91263,6.064000,1.82134055,3.89662651,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,0,2,147474,200180,232650,14.569000,2.63057566,2.57971743,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,0,3,346457,460627,566846,40.683000,3.86861412,1.88809189,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,0,4,259101,354533,452902,27.078000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,1,0,2440,4468,2610,0.211000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,1,1,33725,49207,47306,3.121000,2.88089370,4.26441767,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,1,2,72875,97577,102807,6.951000,3.42038377,3.38647829,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,1,3,380011,492551,600708,46.578000,4.24574274,2.92539459,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,1,4,327575,433722,531975,38.822000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,2,0,2440,4471,2607,0.209000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,2,1,20571,33483,28033,1.809000,3.94044685,4.63220884,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,2,2,32737,48351,44351,3.236000,4.21019189,4.19323914,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,2,3,68705,92519,100119,6.803000,4.62287137,3.96269730,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,2,4,184776,244970,294704,20.327000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,0,3,0,2440,4471,2607,0.225000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,0,0,139752,161447,248510,11.188000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,0,1,289099,332648,511780,24.494000,1.82134055,3.89662651,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,0,2,155596,190390,293317,15.414000,2.63057566,2.57971743,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,0,3,126159,160058,215484,12.365000,3.86861412,1.88809189,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,0,4,2672,4124,2856,0.183000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,1,0,350522,409149,608891,32.972000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,1,1,467749,536585,783082,43.810000,2.88089370,4.26441767,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,1,2,115926,147145,199061,13.007000,3.42038377,3.38647829,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,1,3,62684,83564,95587,6.190000,4.24574274,2.92539459,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,1,4,2672,4124,2856,0.183000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,2,0,84224,108105,139559,8.245000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,BAY,0,1,2,1,68266,89608,105741,6.446000,3.94044685,4.63220884,5,0,5,0.0000000000,0
